Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Coolpad,Coolpad C35 Plus,https://www.gsmarena.com/coolpad_c35_plus-14427.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c35-plus.jpg,GSM / HSPA / LTE,No,"2026, January","Available. Released 2026, January",171.5 x 79.9 x 8.8 mm (6.75 x 3.15 x 0.35 in),209.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 660 nits (typ)",120,6.9,720x1600,254,83.9,,Android 15,Mediatek Helio G81 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,4,6,64,128,eMMC 5.1,50.0,1,2.0,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, proximity, compass",6000,18,,No,,,,,,,,,,,"Knight Black, Glacier Blue, Polar Silver",,,,FM radio
Coolpad,Coolpad C35,https://www.gsmarena.com/coolpad_c35-14426.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c35.jpg,GSM / HSPA / LTE,No,"2025, May","Available. Released 2025, May",167.4 x 77.6 x 8.5 mm (6.59 x 3.06 x 0.33 in),196.4,,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 430 nits (typ)",120,6.75,720x1600,260,84.7,,Android 14,Mediatek Helio G81 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,4,6,128,256,eMMC 5.1,50.0,1,2.0,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, proximity, compass",5000,18,,No,,,,,,,,,,,"Flowing Silver, Radiant Purple, Brilliant Gold",,,,FM radio
Coolpad,Coolpad CP12 Neo Plus,https://www.gsmarena.com/coolpad_cp12_neo_plus-14425.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12-neo-plus.jpg,GSM / HSPA / LTE,No,"2025, May","Available. Released 2025, May",164.2 x 75.7 x 8.8 mm (6.46 x 2.98 x 0.35 in),196.2,,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 450 nits (typ)",120,6.56,720x1612,269,83.2,,Android 15 (Go edition),Unisoc SC9863A1 (22 nm),22,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,2,4,64,256,eMMC 5.1,13.0,1,1.8,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,Wi-Fi 802.11 b/g/n,No,4.2,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, proximity, compass",5000,10,,No,,,,,,,,,,,"Chocolate Brown, Snowflake White, Star Blue",,,,FM radio
Coolpad,Coolpad CP12 Neo,https://www.gsmarena.com/coolpad_cp12_neo-13759.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12-neo1.jpg,GSM / HSPA / LTE,No,"2025, March 25","Available. Released 2025, April",164.2 x 75.7 x 8.8 mm (6.46 x 2.98 x 0.35 in),196.2,,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 450 nits (typ)",120,6.56,720x1612,269,83.2,,Android 15 (Go edition) - 64GB version only Android 14 - 128/256GB version,Unisoc SC9863A1 (22 nm),22,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,2,4,64,256,eMMC 5.1,13.0,1,1.8,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,Wi-Fi 802.11 b/g/n,No,4.2,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, proximity, compass",5000,10,,No,,,,,,,,,,,"Platinum Black, Dream Blue, Cherry Pink, Space Gray",,,,FM radio
Coolpad,Coolpad X100,https://www.gsmarena.com/coolpad_x100-13669.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-x100.jpg,GSM / CDMA / HSPA / EVDO / LTE,No,"2025, February 19","Available. Released 2025, February",169 x 76.3 x 8.6 mm (6.65 x 3.00 x 0.34 in),213.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 450 nits (typ)",120,6.78,1080x2460,396,84.7,,"Android 14, CoolOS",Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,12,256,512,UFS 2.2,108.0,3,1.9,No,1/1.67,No,"LED flash, panorama, HDR",1080p@30fps,32.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,No,"GPS, GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,33,,No,,,180.0,,,,,,,,"Starlit Black, Polar Silver, Palm Blue, Fairy Pink",,,,Unspecified
Coolpad,Coolpad Cool 40i,https://www.gsmarena.com/coolpad_cool_40i-13575.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-40i.jpg,GSM / CDMA / HSPA / LTE,No,"2024, December","Available. Released 2024, December",166.2 x 77 x 8.3 mm (6.54 x 3.03 x 0.33 in),202.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.56,720x1612,269,80.8,,"Android 14, CoolOS",Mediatek MT6765 Helio G37 (12 nm),12,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),PowerVR GE8320,4,6,128,256,eMMC 5.1,50.0,2,1.8,No,,No,"LED flash, panorama, HDR",1080p@30fps,8.0,No,,1080p@30fps,Wi-Fi 802.11 a/b/g/n/ac,Yes,5.0,Type-C,No,"GPS, GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",4500,10,,No,,,100.0,,,,,,,,"Phantom Black, Glacier Blue, Lite Pink, Ivory White",,,,No
Coolpad,Coolpad C16s,https://www.gsmarena.com/coolpad_c16s-13535.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c16s-new.jpg,GSM / CDMA / HSPA / CDMA2000 / LTE,No,"2024, November","Available. Released 2024, November",167.9 x 77.9 x 8.7 mm (6.61 x 3.07 x 0.34 in),215.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 400 nits",90,6.75,720x1600,260,84.1,,Android 14,Mediatek Helio G36 (12 nm),12,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),PowerVR GE8320,4,6,128,256,,50.0,2,1.8,No,,No,LED flash,Yes,8.0,No,,Yes,Wi-Fi 802.11 a/b/g/n/ac,Yes,5.0,Yes,No,"GPS, GALILEO, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,10,,No,,,80.0,,,,,,,,"Midnight Black, Woodland Green, Sunset Orange",,,,Unspecified
Coolpad,Coolpad C16,https://www.gsmarena.com/coolpad_c16-13348.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c16.jpg,GSM / HSPA / LTE,No,"2024, September","Available. Released 2024, September",167.9 x 77.9 x 8.7 mm (6.61 x 3.07 x 0.34 in),215.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 400 nits",90,6.75,720x1600,260,84.1,,Android 14,Unisoc T606 (12 nm),12,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,6,128,256,,50.0,2,1.8,No,,No,LED flash,Yes,8.0,No,,Yes,Wi-Fi 802.11 a/b/g/n/ac,Yes,5.0,Yes,No,"GPS, GALILEO, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,10,,No,,,,,,,,,,,"Midnight Black, Woodland Green, Gulf Blue",,,,Unspecified
Coolpad,Coolpad Cool 30 Play,https://www.gsmarena.com/coolpad_cool_30_play-13149.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-30-play.jpg,GSM / CDMA / HSPA / EVDO / LTE,No,"Expected announcement 2024, July","Available. Released 2024, July",169.6 x 76.6 x 8.5 mm (6.68 x 3.02 x 0.33 in),208.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 450 nits",,6.79,720x1640,264,84.3,,Android 14,Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6,8,128,256,UFS 2.2,64.0,3,1.8,No,,No,"LED flash, panorama",1080p@30fps,8.0,No,,1080p@30fps,Wi-Fi 802.11 a/b/g/n/ac,Yes,5.2,Type-C,No,"GPS, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,33,,No,,,,,,,,,,,"Aurora Purple, Flowing Gold, Velvet Black",,,,Unspecified
Coolpad,Coolpad C15,https://www.gsmarena.com/coolpad_c15-13136.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c15.jpg,GSM / HSPA / LTE,No,"2024, May","Available. Released 2024, May",164.2 x 75.7 x 8.8 mm (6.46 x 2.98 x 0.35 in),196.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 400 nits",90,6.56,720x1612,269,83.2,,Android 14,Mediatek Helio G36 (12 nm),12,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),PowerVR GE8320,4,6,128,256,eMMC 5.1,50.0,2,1.8,No,,No,LED flash,Yes,8.0,No,,Yes,Wi-Fi 802.11 a/b/g/n/ac,Yes,5.0,Yes,No,"GPS, GALILEO, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,18,,No,,,,,,,,,,,"Dreamy Blue, Ripple Purple, Midnight Black",,,,Unspecified
Coolpad,Coolpad Cool 30i,https://www.gsmarena.com/coolpad_cool_30i-12766.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-30i.jpg,GSM / CDMA / HSPA / LTE,No,"2023, December","Available. Released 2023, December",166.2 x 76.7 x 8.3 mm (6.54 x 3.02 x 0.33 in),197.6,,,Nano-SIM + Nano-SIM,IPS LCD,,6.56,720x1600,267,81.5,,"Android 13, CoolOS",Mediatek MT6765 Helio G37 (12 nm),12,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),PowerVR GE8320,6,6,256,256,,50.0,2,1.6,No,,No,"LED flash, panorama, HDR",1080p@30fps,8.0,No,,1080p@30fps,Wi-Fi 802.11 a/b/g/n/ac,No,5.0,Type-C,No,"GPS, GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, proximity",4500,10,,No,,,,,,,,,,,"Cream White, Desert Gold, Lavender Purple, Sky Blue",,,,No
Coolpad,Coolpad CP12s,https://www.gsmarena.com/coolpad_cp12s-12729.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12s.jpg,GSM / HSPA / LTE,No,"2023, November 29","Available. Released 2023, November 29",169.7 x 76.7 x 8.2 mm (6.68 x 3.02 x 0.32 in),209.7,,,Nano-SIM + Nano-SIM,IPS LCD,,6.79,720x1640,264,84.1,,Android 13,Unisoc Tiger T616 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57 MP1,6,8,128,256,eMMC 5.1,48.0,3,1.8,No,,No,"LED flash, panorama",1080p@30fps,8.0,No,,1080p@30fps,Wi-Fi 802.11 a/b/g/n/ac,Yes,5.0,Yes,No,"GPS, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, proximity",5000,18,,No,,,,,,,,,,,"Pearl White, Glacier Blue, Mint Green, Starlight Black",,,,Unspecified
Coolpad,Coolpad CP12,https://www.gsmarena.com/coolpad_cp12-12422.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12.jpg,GSM / HSPA / LTE,No,"2023, June 15","Available. Released 2023, June 15",164.2 x 75.7 x 8.3 mm (6.46 x 2.98 x 0.33 in),190.0,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.52,720x1600,269,82.6,,Android 13,Unisoc SC9863A (28 nm),28,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,4,4,128,128,eMMC 5.1,13.0,2,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,No,"GPS, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, proximity",4500,10,,No,,,90.0,,,,,,,,"Black, Blue, Silver",,,,FM radio
Coolpad,Coolpad Cool 20+,https://www.gsmarena.com/coolpad_cool_20+-12421.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool20-plus.jpg,GSM / CDMA / HSPA / CDMA2000 / LTE,No,"2023, April","Available. Released 2023, April",164.3 x 75.7 x 8.7 mm (6.47 x 2.98 x 0.34 in),197.1,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.52,720x1600,269,82.5,,"Android 11, CoolOS 2",Mediatek MT6769 Helio G85 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC3,4,6,128,128,eMMC 5.1,48.0,2,1.8,No,1/2.0,No,"LED flash, panorama, HDR",1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.0,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO, QZSS","Accelerometer, proximity, compass",4500,10,,No,,,130.0,,,,,,,,"Black, Blue",,,,No
Coolpad,Coolpad CP12p,https://www.gsmarena.com/coolpad_cp12p-12423.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12p.jpg,GSM / CDMA / HSPA / LTE,No,"2023, April 15","Available. Released 2023, April 15",166.2 x 76.7 x 8.3 mm (6.54 x 3.02 x 0.33 in),194.0,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.52,720x1600,269,80.5,,Android 13,Mediatek MT6762 Helio P22 (12 nm),12,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,4,4,128,128,eMMC 5.1,16.0,2,2.2,No,1/3.0,No,LED flash,1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, proximity",4500,10,,No,,,110.0,,,,,,,,"Black, Blue, Light Blue",,,,FM radio
Coolpad,Coolpad Cool 20s,https://www.gsmarena.com/coolpad_cool_20s-11615.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-20s-5g.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,Yes,"2022, June 14","Available. Released 2022, June 14",163 x 74.8 x 8.3 mm (6.42 x 2.94 x 0.33 in),180.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.58,1080x2408,401,85.5,,"Android 13, CoolOS",Mediatek Dimensity 700 (7 nm),7,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6,8,128,256,,50.0,2,1.8,No,,No,"LED flash, panorama, HDR",1080p@30fps,8.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.1,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO, QZSS","Fingerprint (side-mounted), accelerometer, proximity, compass",4500,18,,No,,,140.0,,,,,,,,"Black, Blue, White",,,,FM radio
Coolpad,Coolpad Cool 20,https://www.gsmarena.com/coolpad_cool_20-11620.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-20.jpg,GSM / CDMA / HSPA / CDMA2000 / LTE,No,"2021, May 26. Released 2021, June 01",Discontinued,164.3 x 75.7 x 8.7 mm (6.47 x 2.98 x 0.34 in),199.6,,,Nano-SIM + Nano-SIM,IPS LCD,,6.52,720x1600,269,82.5,,"Android 11, CoolOS 2",Mediatek MT6769V/CU Helio G80 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MP3,4,6,64,128,,48.0,2,1.8,No,,No,"LED flash, panorama, HDR",1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.0,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO, QZSS","Accelerometer, proximity, compass",4500,,,No,,,90.0,,,,,,,,"Black, Blue, White",,,,No
Coolpad,Coolpad Cool 20 Pro,https://www.gsmarena.com/coolpad_cool_20_pro-11256.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-20-pro.jpg,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Yes,"2021, December 02. Released 2021, December 02",Discontinued,162.8 x 74.8 x 8.3 mm (6.41 x 2.94 x 0.33 in),193.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.58,1080x2400,400,85.8,,"Android 11, CoolOS 2",Mediatek Dimensity 900 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,6,8,128,128,UFS 2.2,50.0,3,1.8,No,,No,"LED flash, panorama, HDR",1080p@30fps,8.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",No,5.1,Type-C,Yes,,"Fingerprint (side-mounted), unspecified sensors",4500,33,,No,,,250.0,,,,,,,,"Black, Blue, White, Gold",CP05,,,Unspecified
Coolpad,Coolpad Cool 10A,https://www.gsmarena.com/coolpad_cool_10a-10836.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-10a.jpg,GSM / HSPA / LTE,No,"2021, March 29. Released 2021, March 29",Discontinued,165 x 76 x 8.8 mm (6.50 x 2.99 x 0.35 in),200.0,Glass,,Nano-SIM,IPS LCD,,6.52,720x1600,269,81.8,,Android 11,Unisoc SC9863A (28 nm),28,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,2,2,64,64,eMMC 5.1,13.0,2,,No,,No,"LED flash, panorama, HDR",1080p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.2,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",4000,10,,No,,,90.0,,,,,,,,"Black, Blue, White",,,,FM radio
Coolpad,Coolpad Cool S,https://www.gsmarena.com/coolpad_cool_s-10685.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-s.jpg,GSM / HSPA / LTE,No,"2021, January 08. Released 2021, January 08",Discontinued,161.2 x 76.2 x 8.9 mm (6.35 x 3.00 x 0.35 in),,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.53,1080x2340,395,85.2,,Android 10,Mediatek MT6771 Helio P60 (12 nm),12,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,4,4,128,128,,48.0,4,1.8,No,1/2.0,No,"Dual-LED flash, panorama, HDR",1080p@30fps,25.0,No,,1080p@30fps,Yes,No,,Type-C,No,GPS,"Fingerprint (side-mounted), accelerometer, proximity, compass",5000,10,,No,,,160.0,,,,,,,,"Moon White, Lapis Blue, Night Black",2039,,,Unspecified
Coolpad,Coolpad Cool 6,https://www.gsmarena.com/coolpad_cool_6-10513.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool6.jpg,GSM / HSPA / LTE,No,"2020, October 15. Released 2020, October 15",Discontinued,162.4 x 76.5 x 9.2 mm (6.39 x 3.01 x 0.36 in),198.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.53,1080x2340,395,84.3,,Android 10,Mediatek MT6771T Helio P70 (12 nm),12,Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,4,6,64,128,,48.0,3,,No,1/2.0,No,"LED flash, panorama, HDR",1080p@30fps,21.0,No,,1080p@30fps,Yes,No,,Type-C,No,GPS,"Fingerprint (rear-mounted), accelerometer, proximity, compass",4000,,,No,,,130.0,,,,,,,,"Gray, Blue",,,,FM radio
Coolpad,Coolpad Cool 12A,https://www.gsmarena.com/coolpad_cool_12a-10491.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool12a.jpg,GSM / HSPA / LTE,No,"2020, October 05. Released 2020, October 05",Discontinued,156.2 x 75.2 x 8.9 mm (6.15 x 2.96 x 0.35 in),202.5,Glass,,Nano-SIM,IPS LCD,,6.3,720x1560,273,82.9,,Android,Spreadtrum,,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),,4,4,64,64,eMMC 5.1,16.0,2,,No,,No,"LED flash, panorama, HDR",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,4.2,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer, proximity",4000,,,No,,,70.0,,,,,,,,"Dream Black, Dream Blue, Fantasy Silver",,,,FM radio
Coolpad,Coolpad Cool 10,https://www.gsmarena.com/coolpad_cool_10-10492.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool10.jpg,GSM / HSPA / LTE,No,"2020, June 05. Released 2020, June 12",Discontinued,165.7 x 76.5 x 9.1 mm (6.52 x 3.01 x 0.36 in),202.8,,,Nano-SIM,IPS LCD,,6.52,720x1600,264,84.1,,Android 10,Mediatek MT6758 Helio P30 (16 nm) - China Mediatek MT6771 Helio P60 (12 nm) - International,16,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53) - China Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53) - International,Mali-G71 MP2,4,6,64,128,,16.0,3,1.5,No,,No,"LED flash, panorama, HDR",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.2,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer, proximity",5000,,,No,,,110.0,,,,,,,,"Glazed Black, Seashell White, Science Blue",SEA-A0,,,Unspecified
Coolpad,Coolpad Legacy 5G,https://www.gsmarena.com/coolpad_legacy_5g-10030.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-legacy-5g-.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,Yes,"2020, January",Cancelled,165 x 77 x 9.5 mm (6.50 x 3.03 x 0.37 in),195.0,,,Nano-SIM,"IPS LCD, HDR10",,6.53,1080x2340,395,82.4,,Android 10,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),7,Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,4,4,64,64,UFS 2.1,48.0,2,,No,1/2.0,Yes,"LED flash, panorama, HDR","4K@30fps, 1080p@30fps",16.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.0,Type-C,Yes,"GPS (L1+L5), GLONASS, BDS, GALILEO","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",4000,18,,No,,,360.0,,,,,,,,Yellow/Blue,,,,FM radio
